Datum;Unfaelle_mit_Alkoholeinfluss;Unfaelle_Fahrrad;Unfaelle_Motorrad_roller;Verunglueckte_Kinder_u15J;Verunglueckte_Fussgaenger;Verunglueckte_auf_EScooter;Getoetete_insgesamt;PKWPersschaden
19.08.2010;85;283;87;107;86;;8;703
20.08.2010;114;347;167;117;102;;8;904
21.08.2010;215;287;193;73;56;;13;680
22.08.2010;170;222;168;57;36;;7;532
23.08.2010;66;236;49;106;82;;7;849
24.08.2010;78;300;88;98;76;;13;718
25.08.2010;57;266;94;95;77;;8;646
26.08.2010;91;271;68;85;78;;7;789
27.08.2010;113;210;52;97;82;;13;935
28.08.2010;192;165;64;69;68;;19;619
29.08.2010;198;92;47;41;42;;8;426
30.08.2010;56;195;38;79;75;;13;827
31.08.2010;90;264;68;99;85;;9;754
01.09.2010;76;297;77;86;76;;12;666
02.09.2010;94;285;91;103;81;;7;743
03.09.2010;106;291;117;94;106;;17;791
04.09.2010;196;218;130;85;80;;20;676
05.09.2010;228;203;196;69;50;;22;573
06.09.2010;70;344;135;119;112;;11;929
07.09.2010;57;246;48;81;96;;11;767
08.09.2010;65;238;54;85;81;;16;695
09.09.2010;77;204;49;99;93;;12;791
10.09.2010;110;241;84;91;99;;18;840
11.09.2010;209;258;206;94;91;;11;753
12.09.2010;200;188;164;65;52;;19;572
13.09.2010;75;265;67;97;92;;8;805
14.09.2010;72;238;47;80;91;;10;828
15.09.2010;61;226;49;101;105;;8;774
16.09.2010;79;256;53;108;98;;8;838
17.09.2010;116;277;79;112;92;;5;845
18.09.2010;198;172;103;84;91;;9;648
19.09.2010;199;152;111;66;47;;11;461
20.09.2010;85;268;68;84;73;;10;801
21.09.2010;65;331;109;93;83;;12;810
22.09.2010;84;378;145;134;107;;19;966
23.09.2010;63;344;144;126;105;;13;901
24.09.2010;135;285;88;118;127;;12;1054
25.09.2010;226;133;48;74;80;;14;700
26.09.2010;223;71;39;64;53;;29;474
27.09.2010;77;199;29;102;97;;5;882
28.09.2010;65;182;29;94;102;;5;769
29.09.2010;72;263;54;97;102;;8;738
30.09.2010;89;249;50;91;95;;13;816
01.10.2010;139;260;66;115;141;;9;908
02.10.2010;230;131;40;60;72;;12;585
03.10.2010;233;166;193;87;74;;17;625
04.10.2010;76;298;84;109;94;;18;801
05.10.2010;83;267;68;107;105;;13;736
06.10.2010;64;313;79;144;115;;9;763
07.10.2010;84;270;83;99;105;;4;774
08.10.2010;116;266;104;131;105;;16;889
09.10.2010;193;231;166;84;83;;18;800
10.10.2010;205;162;185;72;70;;17;652
11.10.2010;66;285;79;130;108;;14;876
12.10.2010;52;201;65;89;92;;13;752
13.10.2010;81;234;57;87;90;;8;728
14.10.2010;70;189;35;77;75;;4;648
15.10.2010;129;165;28;80;101;;13;835
16.10.2010;216;101;18;49;75;;4;674
17.10.2010;182;62;31;44;58;;6;402
18.10.2010;83;184;30;48;103;;8;681
19.10.2010;81;181;30;116;90;;11;747
20.10.2010;96;174;26;95;97;;14;843
21.10.2010;86;184;34;74;107;;11;780
22.10.2010;97;160;37;68;86;;9;685
23.10.2010;214;143;41;47;52;;13;604
24.10.2010;187;52;18;41;32;;6;369
25.10.2010;71;222;25;92;115;;7;820
26.10.2010;72;226;22;78;113;;11;805
27.10.2010;70;200;32;84;118;;11;755
28.10.2010;80;189;40;95;95;;6;708
29.10.2010;130;290;87;104;143;;12;1005
30.10.2010;211;160;75;83;83;;15;666
31.10.2010;228;86;88;43;59;;10;496
01.11.2010;104;152;27;55;67;;10;541
02.11.2010;77;223;24;83;105;;12;737
03.11.2010;80;211;17;73;98;;8;722
04.11.2010;76;252;33;75;160;;20;935
05.11.2010;132;249;33;109;163;;11;901
06.11.2010;231;122;21;70;109;;11;702
07.11.2010;179;53;8;33;49;;16;412
08.11.2010;48;202;29;78;115;;13;850
09.11.2010;73;203;28;74;132;;7;801
10.11.2010;77;230;18;87;141;;16;891
11.11.2010;70;215;24;103;184;;15;894
12.11.2010;107;181;10;132;179;;10;955
13.11.2010;185;112;26;71;110;;12;693
14.11.2010;208;107;51;50;57;;18;468
15.11.2010;57;229;31;88;151;;12;855
16.11.2010;83;178;16;80;131;;14;810
17.11.2010;66;138;13;75;105;;6;649
18.11.2010;86;215;19;73;148;;16;861
19.11.2010;122;175;18;91;124;;12;798
20.11.2010;209;103;24;60;75;;17;531
21.11.2010;185;68;17;32;29;;5;311
22.11.2010;62;165;15;111;188;;15;924
23.11.2010;76;198;23;98;153;;7;798
24.11.2010;68;139;12;70;152;;9;771
25.11.2010;83;182;11;80;158;;10;823
26.11.2010;120;132;4;86;144;;14;892
27.11.2010;170;65;5;53;80;;8;544
28.11.2010;170;33;3;24;59;;11;352
29.11.2010;75;91;6;111;123;;11;1038
30.11.2010;53;89;4;46;122;;8;563
01.12.2010;69;92;3;54;97;;10;651
02.12.2010;83;39;1;56;98;;11;629
03.12.2010;83;51;3;63;113;;10;617
04.12.2010;181;31;0;45;74;;6;501
05.12.2010;176;12;0;42;37;;5;443
06.12.2010;62;69;2;54;122;;6;635
07.12.2010;69;80;0;46;117;;8;564
08.12.2010;86;68;3;64;107;;6;681
09.12.2010;68;51;0;63;117;;12;699
10.12.2010;99;64;1;54;121;;5;637
11.12.2010;148;32;2;35;84;;7;428
12.12.2010;148;15;2;41;43;;7;332
13.12.2010;68;108;5;73;143;;9;885
14.12.2010;59;40;1;56;100;;4;536
15.12.2010;68;51;3;49;112;;7;578
16.12.2010;67;31;0;36;92;;8;579
17.12.2010;95;14;0;66;101;;6;673
18.12.2010;176;17;0;49;92;;3;531
19.12.2010;167;10;1;20;50;;2;318
20.12.2010;65;31;0;55;107;;5;789
21.12.2010;58;36;1;53;83;;4;573
22.12.2010;70;41;1;48;99;;3;453
23.12.2010;121;19;0;65;81;;7;547
24.12.2010;119;12;1;36;44;;2;451
25.12.2010;79;3;2;28;20;;1;226
26.12.2010;92;2;0;34;26;;1;316
27.12.2010;60;14;1;36;42;;4;383
28.12.2010;50;11;1;29;35;;5;351
29.12.2010;62;7;0;33;51;;5;343
30.12.2010;76;19;0;34;56;;2;390
31.12.2010;80;9;1;19;27;;10;229
01.01.2015;264;20;4;28;39;;0;300
02.01.2015;42;50;3;40;70;;8;402
03.01.2015;84;36;0;35;66;;6;410
04.01.2015;74;58;2;23;45;;5;373
05.01.2015;45;130;8;43;107;;10;585
06.01.2015;61;94;8;27;81;;9;439
07.01.2015;52;168;8;65;109;;6;607
08.01.2015;58;172;10;56;221;;7;766
09.01.2015;98;126;7;55;139;;10;678
10.01.2015;106;64;10;36;75;;3;390
11.01.2015;128;22;2;34;39;;8;288
12.01.2015;45;155;9;72;135;;5;695
13.01.2015;54;198;14;80;153;;10;739
14.01.2015;64;151;6;56;144;;7;732
15.01.2015;59;170;9;53;139;;10;724
16.01.2015;71;132;12;66;125;;3;638
17.01.2015;134;83;10;45;88;;11;517
18.01.2015;128;43;3;35;43;;5;323
19.01.2015;50;147;6;62;117;;10;660
20.01.2015;41;110;4;43;109;;6;605
21.01.2015;39;117;2;53;88;;7;567
22.01.2015;67;124;5;63;115;;3;607
23.01.2015;67;109;6;72;107;;12;637
24.01.2015;121;41;1;56;66;;6;575
25.01.2015;131;26;2;29;32;;15;300
26.01.2015;48;160;5;57;137;;7;782
27.01.2015;49;159;7;80;135;;4;868
28.01.2015;44;115;5;67;138;;6;596
29.01.2015;66;145;3;70;128;;8;755
30.01.2015;92;107;6;53;135;;9;809
31.01.2015;151;49;2;42;73;;7;478
01.02.2015;145;25;1;24;40;;5;306
02.02.2015;55;117;6;59;102;;9;739
03.02.2015;54;102;4;67;94;;10;635
04.02.2015;60;109;3;40;94;;6;548
05.02.2015;46;95;0;32;88;;3;551
06.02.2015;72;91;5;59;86;;7;677
07.02.2015;120;44;8;46;74;;7;499
08.02.2015;125;29;5;26;37;;9;320
09.02.2015;51;130;5;57;97;;3;657
10.02.2015;47;129;4;43;84;;6;586
11.02.2015;59;116;6;48;88;;7;488
12.02.2015;90;136;8;48;87;;6;572
13.02.2015;98;146;16;73;122;;5;742
14.02.2015;143;91;13;50;63;;6;433
15.02.2015;146;42;11;22;50;;8;271
16.02.2015;70;104;6;50;75;;6;511
17.02.2015;61;107;10;46;84;;5;517
18.02.2015;49;106;14;44;54;;13;473
19.02.2015;60;146;9;49;89;;3;572
20.02.2015;83;129;15;68;100;;8;647
21.02.2015;109;61;14;31;63;;10;431
22.02.2015;120;42;11;27;28;;3;251
23.02.2015;40;105;4;58;115;;12;713
24.02.2015;44;145;7;55;90;;15;677
25.02.2015;38;183;20;73;93;;13;689
26.02.2015;55;162;17;58;95;;2;646
27.02.2015;84;155;13;86;118;;11;847
28.02.2015;110;108;25;63;59;;4;507
01.03.2015;130;31;8;32;33;;5;319
02.03.2015;47;151;18;80;121;;6;715
03.03.2015;45;153;14;63;106;;5;708
04.03.2015;50;182;14;60;104;;2;669
05.03.2015;57;135;17;78;70;;5;595
06.03.2015;93;158;47;80;76;;8;624
07.03.2015;133;112;79;49;73;;6;488
08.03.2015;151;135;155;54;52;;12;494
09.03.2015;43;196;42;74;89;;7;695
10.03.2015;54;182;35;97;99;;9;681
11.03.2015;51;188;41;102;107;;13;719
12.03.2015;55;184;36;77;103;;9;676
13.03.2015;66;151;35;72;88;;6;616
14.03.2015;95;71;18;35;45;;5;404
15.03.2015;143;51;23;38;27;;6;295
16.03.2015;48;194;46;66;85;;13;666
17.03.2015;42;251;80;93;98;;15;698
18.03.2015;67;218;83;72;92;;10;721
19.03.2015;69;219;57;75;112;;8;720
20.03.2015;76;219;61;78;93;;12;730
21.03.2015;128;100;15;50;67;;5;497
22.03.2015;141;54;27;35;36;;6;299
23.03.2015;48;216;34;76;97;;8;668
24.03.2015;49;225;37;85;95;;8;646
25.03.2015;51;186;47;55;81;;6;619
26.03.2015;58;168;19;68;91;;4;575
27.03.2015;71;154;28;63;77;;6;626
28.03.2015;136;134;51;83;88;;8;528
29.03.2015;145;42;1;28;38;;3;356
30.03.2015;41;125;16;64;79;;7;672
31.03.2015;47;93;14;48;98;;7;682
01.04.2015;58;110;15;59;77;;17;716
02.04.2015;79;116;19;77;97;;4;886
03.04.2015;129;69;61;49;22;;6;348
04.04.2015;118;74;36;51;57;;7;498
05.04.2015;148;56;47;27;30;;8;295
06.04.2015;77;55;36;54;24;;7;307
07.04.2015;57;168;55;47;83;;11;635
08.04.2015;49;153;49;77;65;;10;509
09.04.2015;73;236;121;109;75;;15;755
10.04.2015;91;284;149;104;83;;10;782
11.04.2015;113;136;91;58;56;;9;486
12.04.2015;133;141;175;67;53;;7;446
13.04.2015;64;220;57;76;95;;6;726
14.04.2015;55;289;70;95;85;;10;745
15.04.2015;59;389;159;114;132;;14;1003
16.04.2015;65;293;62;77;88;;7;707
17.04.2015;77;239;58;94;94;;5;758
18.04.2015;119;164;93;71;74;;7;581
19.04.2015;164;167;165;62;44;;9;482
20.04.2015;54;325;78;114;114;;9;925
21.04.2015;58;391;118;133;105;;14;948
22.04.2015;66;311;76;118;97;;14;807
23.04.2015;75;341;92;112;112;;14;911
24.04.2015;68;362;154;131;112;;19;945
25.04.2015;152;152;60;53;58;;5;552
26.04.2015;129;125;67;48;39;;15;419
27.04.2015;56;241;32;100;79;;7;771
28.04.2015;40;213;23;61;72;;5;712
29.04.2015;65;298;68;108;85;;5;727
30.04.2015;92;289;43;105;125;;8;952
01.05.2015;230;104;54;38;59;;7;411
02.05.2015;135;200;100;71;83;;11;623
03.05.2015;111;88;47;70;33;;8;407
04.05.2015;58;310;58;119;113;;11;856
05.05.2015;45;324;43;107;86;;10;821
06.05.2015;71;326;61;121;106;;10;793
07.05.2015;75;348;71;121;102;;7;805
08.05.2015;92;374;124;121;101;;14;912
09.05.2015;146;169;80;57;63;;10;552
10.05.2015;152;172;140;67;40;;14;499
11.05.2015;70;358;117;142;104;;8;853
12.05.2015;72;397;92;129;110;;12;870
13.05.2015;69;416;132;148;121;;20;1032
14.05.2015;254;306;163;55;75;;8;446
15.05.2015;100;296;111;101;86;;12;727
16.05.2015;116;170;98;78;50;;15;529
17.05.2015;121;152;94;66;37;;3;427
18.05.2015;36;339;71;128;107;;11;827
19.05.2015;49;303;60;103;84;;8;728
20.05.2015;56;243;49;95;92;;10;744
21.05.2015;65;311;70;85;79;;7;733
22.05.2015;100;318;118;119;101;;8;906
23.05.2015;135;161;99;66;59;;12;500
24.05.2015;170;188;157;59;39;;13;431
25.05.2015;97;148;85;54;25;;15;351
26.05.2015;60;254;47;78;78;;8;693
27.05.2015;45;279;51;77;69;;10;605
28.05.2015;53;273;77;106;82;;12;740
29.05.2015;74;312;78;102;90;;6;782
30.05.2015;163;148;67;68;48;;3;573
31.05.2015;156;205;121;61;42;;9;453
01.06.2015;63;290;52;98;86;;6;866
02.06.2015;62;319;81;92;87;;14;769
03.06.2015;78;362;114;106;102;;7;883
04.06.2015;121;423;237;93;86;;16;744
05.06.2015;97;403;220;135;115;;19;1054
06.06.2015;145;257;143;76;73;;9;599
07.06.2015;150;261;181;74;41;;17;561
08.06.2015;54;306;64;102;75;;13;819
09.06.2015;55;298;78;95;81;;8;717
10.06.2015;52;382;83;112;82;;12;807
11.06.2015;81;436;107;115;95;;12;878
12.06.2015;93;440;128;132;105;;14;995
13.06.2015;173;259;87;113;74;;10;671
14.06.2015;153;224;138;66;55;;10;514
15.06.2015;69;331;74;99;78;;13;842
16.06.2015;44;368;75;116;72;;11;750
17.06.2015;60;416;96;126;102;;13;871
18.06.2015;75;330;37;110;96;;6;859
19.06.2015;77;290;62;98;103;;10;856
20.06.2015;151;152;38;68;45;;7;543
21.06.2015;142;141;64;45;30;;15;426
22.06.2015;62;240;27;90;70;;11;963
23.06.2015;67;242;43;103;81;;2;818
24.06.2015;48;293;65;85;90;;9;708
25.06.2015;74;406;104;120;87;;12;815
26.06.2015;104;374;129;152;96;;19;833
27.06.2015;158;209;73;90;74;;11;641
28.06.2015;189;287;179;86;46;;10;501
29.06.2015;64;394;91;109;85;;8;820
30.06.2015;72;535;156;156;111;;19;1050
01.07.2015;92;458;128;151;96;;16;1013
02.07.2015;92;466;113;129;95;;9;1035
03.07.2015;95;361;127;118;76;;11;920
04.07.2015;155;224;118;77;57;;13;652
05.07.2015;170;189;88;57;27;;8;483
06.07.2015;70;428;116;151;89;;10;1023
07.07.2015;69;437;92;119;94;;11;950
08.07.2015;58;299;64;106;68;;7;852
09.07.2015;58;332;61;132;72;;8;826
10.07.2015;101;416;161;140;94;;10;1023
11.07.2015;183;301;166;71;74;;15;662
12.07.2015;168;205;112;66;38;;10;488
13.07.2015;66;268;58;94;70;;16;843
14.07.2015;56;296;71;102;80;;10;804
15.07.2015;77;405;108;99;87;;11;841
16.07.2015;86;375;112;119;88;;14;854
17.07.2015;135;369;116;112;74;;14;875
18.07.2015;169;278;118;77;70;;10;615
19.07.2015;177;166;82;57;39;;9;441
20.07.2015;64;369;86;98;90;;13;883
21.07.2015;69;429;98;119;103;;9;861
22.07.2015;72;377;103;89;77;;11;810
23.07.2015;76;366;83;114;83;;12;793
24.07.2015;95;353;112;124;83;;7;839
25.07.2015;151;183;51;73;77;;3;558
26.07.2015;155;250;152;75;52;;18;523
27.07.2015;67;248;41;86;69;;15;817
28.07.2015;53;246;63;76;78;;11;657
29.07.2015;65;235;62;96;74;;7;694
30.07.2015;64;274;80;94;69;;15;729
31.07.2015;99;333;128;124;99;;15;818
01.08.2015;168;251;127;103;82;;14;628
02.08.2015;164;262;212;83;41;;17;561
03.08.2015;83;368;111;69;91;;13;839
04.08.2015;80;311;86;69;59;;8;762
05.08.2015;77;399;121;102;67;;11;787
06.08.2015;102;361;112;62;65;;14;797
07.08.2015;104;299;101;74;78;;10;799
08.08.2015;177;257;100;74;72;;9;604
09.08.2015;176;246;139;54;37;;10;468
10.08.2015;77;254;88;57;63;;12;689
11.08.2015;77;323;103;79;68;;9;682
12.08.2015;75;345;92;98;82;;7;682
13.08.2015;86;334;104;103;87;;11;807
14.08.2015;96;321;89;112;75;;19;784
15.08.2015;185;204;93;79;58;;9;546
16.08.2015;183;123;46;64;40;;5;518
17.08.2015;58;222;37;89;57;;10;904
18.08.2015;68;241;60;77;55;;8;688
19.08.2015;73;223;61;72;55;;4;590
20.08.2015;62;297;88;89;74;;8;705
21.08.2015;100;310;144;106;85;;12;774
22.08.2015;159;278;164;93;71;;14;678
23.08.2015;158;224;154;72;46;;8;506
24.08.2015;70;248;67;98;86;;9;790
25.08.2015;53;258;65;98;71;;11;665
26.08.2015;68;376;120;114;102;;11;772
27.08.2015;83;310;85;68;77;;13;755
28.08.2015;101;317;93;82;86;;11;822
29.08.2015;176;296;179;96;81;;14;734
30.08.2015;169;226;156;85;39;;15;546
31.08.2015;79;377;103;72;95;;9;888
01.09.2015;90;287;48;83;91;;8;839
02.09.2015;80;284;74;71;96;;7;747
03.09.2015;69;279;58;97;87;;9;792
04.09.2015;78;262;83;86;81;;15;753
05.09.2015;163;140;64;73;64;;7;597
06.09.2015;160;99;49;32;32;;7;396
07.09.2015;62;272;58;81;80;;12;821
08.09.2015;61;287;63;82;78;;10;676
09.09.2015;72;335;98;99;88;;11;769
10.09.2015;80;313;104;119;107;;10;819
11.09.2015;90;302;105;94;79;;13;829
12.09.2015;191;243;131;75;72;;22;642
13.09.2015;171;146;77;52;46;;14;530
14.09.2015;72;264;33;101;92;;7;958
15.09.2015;66;287;44;76;76;;5;782
16.09.2015;70;280;48;84;97;;10;851
17.09.2015;57;277;51;106;88;;14;845
18.09.2015;94;320;73;150;94;;11;876
19.09.2015;187;184;71;85;76;;14;627
20.09.2015;173;97;67;47;41;;10;432
21.09.2015;57;290;92;88;85;;9;796
22.09.2015;53;235;46;88;71;;5;752
23.09.2015;59;230;45;88;73;;5;770
24.09.2015;77;286;66;80;95;;11;744
25.09.2015;92;267;81;86;94;;10;784
26.09.2015;177;182;108;67;73;;13;578
27.09.2015;163;157;158;73;62;;14;500
28.09.2015;67;289;67;88;94;;8;837
29.09.2015;68;318;67;110;97;;8;850
30.09.2015;68;369;92;112;111;;17;976
01.10.2015;82;371;83;129;100;;8;1024
02.10.2015;100;375;134;128;151;;16;1196
03.10.2015;197;201;212;64;62;;14;599
04.10.2015;147;108;76;51;46;;3;488
05.10.2015;66;296;54;79;94;;10;822
06.10.2015;59;290;36;93;102;;4;899
07.10.2015;74;223;25;102;121;;9;883
08.10.2015;80;240;27;85;95;;8;794
09.10.2015;91;246;52;80;97;;6;824
10.10.2015;160;154;65;59;68;;11;557
11.10.2015;136;109;76;61;77;;15;450
12.10.2015;48;196;44;76;88;;9;742
13.10.2015;55;168;27;55;77;;10;618
14.10.2015;72;181;26;63;90;;7;746
15.10.2015;78;186;22;72;104;;11;918
16.10.2015;109;182;16;92;109;;12;881
17.10.2015;175;89;12;32;57;;15;512
18.10.2015;161;68;24;50;44;;6;342
19.10.2015;51;199;28;66;95;;11;723
20.10.2015;60;168;22;68;101;;10;670
21.10.2015;63;166;26;69;82;;5;610
22.10.2015;57;201;14;86;106;;4;704
23.10.2015;87;219;49;81;86;;9;803
24.10.2015;162;141;89;60;62;;15;544
25.10.2015;171;91;49;37;41;;12;420
26.10.2015;54;267;51;66;118;;8;829
27.10.2015;69;268;52;73;106;;5;764
28.10.2015;51;210;32;69;82;;6;606
29.10.2015;57;236;36;77;85;;8;714
30.10.2015;110;198;41;132;120;;15;798
31.10.2015;159;153;110;72;83;;4;611
01.11.2015;184;141;62;47;58;;10;530
02.11.2015;75;276;33;79;116;;10;902
03.11.2015;73;275;25;95;130;;12;879
04.11.2015;69;271;15;81;77;;5;785
05.11.2015;67;275;32;83;123;;16;838
06.11.2015;100;270;39;82;117;;6;884
07.11.2015;184;168;27;72;70;;5;634
08.11.2015;164;143;71;42;51;;10;438
09.11.2015;67;272;23;90;97;;10;867
10.11.2015;67;235;24;89;129;;12;790
11.11.2015;49;263;36;71;107;;11;778
12.11.2015;76;236;38;81;118;;10;734
13.11.2015;104;238;25;80;121;;8;810
14.11.2015;170;128;18;51;80;;4;594
15.11.2015;188;54;10;30;53;;6;416
16.11.2015;75;287;25;74;127;;6;857
17.11.2015;59;264;19;92;180;;15;935
18.11.2015;46;199;16;80;92;;12;667
19.11.2015;74;245;22;75;179;;10;912
20.11.2015;100;206;10;121;211;;7;1079
21.11.2015;213;102;9;51;94;;9;608
22.11.2015;181;43;4;36;44;;8;454
23.11.2015;62;210;11;74;113;;8;776
24.11.2015;38;200;10;77;179;;16;728
25.11.2015;47;227;8;69;135;;9;817
26.11.2015;72;228;11;87;146;;13;895
27.11.2015;106;197;17;84;121;;11;887
28.11.2015;149;99;6;50;68;;11;627
29.11.2015;161;49;6;44;57;;6;443
30.11.2015;77;222;8;92;263;;18;1059
01.12.2015;82;240;11;90;207;;8;984
02.12.2015;58;178;15;77;106;;8;692
03.12.2015;92;187;20;62;131;;8;798
04.12.2015;122;209;9;112;163;;12;953
05.12.2015;194;104;21;54;80;;11;614
06.12.2015;169;67;6;26;43;;5;373
07.12.2015;75;264;14;79;156;;10;898
08.12.2015;57;279;22;136;159;;16;977
09.12.2015;64;211;12;98;136;;14;794
10.12.2015;78;251;20;95;158;;11;884
11.12.2015;102;191;13;119;188;;13;924
12.12.2015;192;98;9;39;88;;8;606
13.12.2015;148;64;9;30;55;;9;354
14.12.2015;73;208;12;71;137;;10;807
15.12.2015;63;197;12;74;142;;8;757
16.12.2015;78;209;7;96;215;;11;939
17.12.2015;108;272;17;93;150;;14;883
18.12.2015;129;205;10;90;148;;10;870
19.12.2015;194;120;14;71;87;;8;544
20.12.2015;163;54;16;35;62;;5;335
21.12.2015;57;216;14;85;154;;10;876
22.12.2015;72;180;11;64;136;;10;760
23.12.2015;88;152;15;78;88;;5;681
24.12.2015;93;84;16;31;64;;8;340
25.12.2015;86;26;8;27;21;;12;234
26.12.2015;90;54;24;35;27;;5;275
27.12.2015;80;58;25;28;29;;7;300
28.12.2015;59;133;18;58;83;;7;519
29.12.2015;72;96;16;31;61;;5;436
30.12.2015;61;94;10;43;67;;7;440
31.12.2015;89;58;6;38;51;;11;353
01.01.2020;232;39;2;34;49;;11;329
02.01.2020;39;99;5;52;59;;6;431
03.01.2020;65;118;2;39;101;;6;465
04.01.2020;91;80;3;36;58;;2;384
05.01.2020;90;48;4;21;21;;7;222
06.01.2020;46;130;10;45;69;;4;452
07.01.2020;53;208;3;48;119;;4;606
08.01.2020;51;191;5;67;92;;8;615
09.01.2020;60;205;6;64;152;;10;711
10.01.2020;65;203;10;65;135;;10;723
11.01.2020;114;85;12;39;42;;4;353
12.01.2020;106;45;6;21;35;;2;253
13.01.2020;44;198;13;80;106;;10;678
14.01.2020;47;194;6;62;136;;4;638
15.01.2020;44;213;21;61;125;;9;671
16.01.2020;70;270;26;75;154;;9;792
17.01.2020;61;244;13;80;122;;7;751
18.01.2020;133;87;5;57;65;;7;443
19.01.2020;130;68;10;35;29;;4;310
20.01.2020;48;175;7;56;91;;9;623
21.01.2020;39;200;12;80;150;;12;734
22.01.2020;60;171;9;60;91;;6;586
23.01.2020;61;174;6;89;96;;8;553
24.01.2020;80;183;6;97;121;;5;689
25.01.2020;127;78;2;42;46;;5;364
26.01.2020;133;48;9;28;30;;3;288
27.01.2020;41;228;11;55;116;;2;728
28.01.2020;55;190;4;76;165;;3;741
29.01.2020;68;165;7;51;93;;9;645
30.01.2020;63;192;15;73;120;;13;679
31.01.2020;88;197;13;81;108;;6;673
01.02.2020;139;100;13;31;78;;8;478
02.02.2020;136;45;2;33;41;;2;293
03.02.2020;56;176;11;73;141;;10;699
04.02.2020;55;163;4;67;112;;8;681
05.02.2020;61;235;10;74;117;;9;657
06.02.2020;68;189;10;67;99;;10;590
07.02.2020;87;163;19;71;96;;7;651
08.02.2020;136;102;19;44;45;;6;427
09.02.2020;120;46;10;22;31;;5;247
10.02.2020;48;103;5;36;89;;4;538
11.02.2020;54;113;4;55;102;;7;604
12.02.2020;51;140;6;47;85;;4;545
13.02.2020;59;251;8;77;106;;6;660
14.02.2020;88;167;13;70;101;;6;675
15.02.2020;122;128;30;63;74;;6;451
16.02.2020;112;53;26;23;29;;2;253
17.02.2020;71;163;9;52;91;;7;594
18.02.2020;50;170;12;41;70;;7;514
19.02.2020;58;158;9;50;94;;6;625
20.02.2020;81;160;12;55;111;;10;577
21.02.2020;99;150;23;57;62;;7;534
22.02.2020;145;110;20;52;73;;8;431
23.02.2020;137;33;2;30;36;;3;267
24.02.2020;91;145;11;39;109;;6;534
25.02.2020;65;155;12;53;96;;6;544
26.02.2020;56;163;6;49;106;;7;644
27.02.2020;60;144;7;58;120;;8;725
28.02.2020;84;205;14;74;106;;8;716
29.02.2020;130;128;19;44;81;;8;450
01.03.2020;113;53;26;37;33;;6;272
02.03.2020;75;219;24;52;120;;4;684
03.03.2020;40;185;7;56;95;;11;594
04.03.2020;55;175;15;77;89;;3;574
05.03.2020;67;194;13;57;84;;4;622
06.03.2020;70;155;11;70;91;;6;671
07.03.2020;137;88;36;37;51;;7;409
08.03.2020;142;73;30;33;34;;8;279
09.03.2020;56;186;16;57;75;;4;664
10.03.2020;69;147;13;46;110;;4;716
11.03.2020;59;185;26;54;75;;5;625
12.03.2020;62;181;18;68;71;;3;595
13.03.2020;106;174;25;82;94;;4;650
14.03.2020;149;124;50;44;71;;7;454
15.03.2020;121;105;135;51;20;;9;280
16.03.2020;72;220;67;43;74;;3;586
17.03.2020;56;181;46;33;43;;6;429
18.03.2020;59;197;76;30;45;;6;446
19.03.2020;60;170;55;33;65;;7;392
20.03.2020;59;143;41;30;36;;6;312
21.03.2020;85;71;15;10;23;;3;193
22.03.2020;59;42;21;5;10;;1;101
23.03.2020;37;100;16;13;33;;8;277
24.03.2020;44;92;12;15;27;;1;227
25.03.2020;34;105;23;18;22;;1;248
26.03.2020;43;78;28;11;22;;6;214
27.03.2020;65;163;72;20;35;;4;327
28.03.2020;82;186;94;22;20;;6;256
29.03.2020;46;23;9;5;3;;3;97
30.03.2020;53;84;15;16;20;;8;306
31.03.2020;37;82;19;11;33;;7;280
01.04.2020;56;123;31;14;26;;7;280
02.04.2020;50;121;25;16;30;;3;270
03.04.2020;63;93;24;15;31;;3;252
04.04.2020;91;165;69;21;34;;4;281
05.04.2020;75;223;168;24;28;;8;251
06.04.2020;61;214;73;35;42;;10;430
07.04.2020;41;243;78;44;33;;10;400
08.04.2020;52;262;79;38;44;;13;471
09.04.2020;67;262;79;41;41;;7;491
10.04.2020;68;265;94;30;21;;6;240
11.04.2020;95;268;116;30;37;;7;400
12.04.2020;74;240;104;27;18;;6;210
13.04.2020;53;133;21;25;17;;6;158
14.04.2020;34;134;17;22;46;;6;324
15.04.2020;52;253;47;40;36;;5;360
16.04.2020;68;276;70;38;46;;7;463
17.04.2020;67;299;81;45;54;;16;485
18.04.2020;94;290;81;46;31;;10;370
19.04.2020;83;244;90;36;18;;10;255
20.04.2020;60;254;60;46;69;;8;528
21.04.2020;55;262;53;43;49;;7;476
22.04.2020;65;367;86;57;70;;10;563
23.04.2020;56;399;92;69;65;;12;629
24.04.2020;86;294;90;58;49;;16;505
25.04.2020;101;263;80;37;43;;4;400
26.04.2020;82;323;146;50;32;;9;313
27.04.2020;52;314;64;65;56;;8;540
28.04.2020;39;227;19;32;46;;14;450
29.04.2020;66;199;29;43;40;;5;440
30.04.2020;64;214;26;47;71;;8;590
01.05.2020;121;102;28;22;16;;9;203
02.05.2020;103;120;15;35;25;;1;343
03.05.2020;73;179;57;28;21;;3;196
04.05.2020;53;200;26;37;61;;10;457
05.05.2020;52;256;44;50;63;;6;475
06.05.2020;56;284;72;57;62;;10;542
07.05.2020;79;398;101;64;63;;5;653
08.05.2020;105;381;134;77;65;;7;625
09.05.2020;122;329;129;74;57;;7;488
